Name,Salary,DOJ,Age,Gender,Dependents,HA,COLA,CPF,Gross Salary,Insurance,Marital Status,In Company Years,Year of Experience,Department,Position
BObvixfq,95192.13,2/28/2018,37,Female,1,4638.786999999998,22466.269124087587,14119.00789489051,108178.17822919707,Both,Married,6,16,Marketing,Senior Marketing Executive
SBUNzckD,139141.26,10/21/2011,51,Other,1,7582.873999999998,32838.69153284671,20637.594183941605,158925.23134890513,Both,Married,12,30,Marketing,National Marketing Manager
kBDReJFQ,101937.26,11/25/2020,43,Male,2,11556.274,24058.185450121648,15119.453454014596,122432.26599610706,Medical,Married,3,22,Sales,Regional Sales Manager
PVaLAwnu,122044.47,4/6/2013,51,Female,3,7065.553,28803.68270072992,18101.77832408759,139811.92737664233,Medical,Married,11,30,Marketing,Marketing Director
whnNCckA,115837.58,1/21/2012,59,Female,1,12680.241999999998,27338.79625304136,17181.165150364963,138675.45310267637,Medical,Married,12,38,IT,IT Manager
SdBPYFyZ,52759.15,3/2/2022,27,Male,1,6663.084999999999,12451.672871046225,7825.298744525547,64048.60912652067,Life,Married,2,6,Finance,Account Executive
oGYDzCNP,92550.94,11/20/2018,38,Male,3,8293.905999999999,21842.92257907542,13727.26350948905,108960.5050695864,Both,Married,5,17,Marketing,Senior Marketing Executive
cLvwyftY,125015.6,3/20/2011,55,Female,3,11621.44,29504.89829683697,18542.459795620434,147599.47850121654,Medical,Married,13,34,IT,Technical Lead
bHHWIEEY,89340.53,1/16/2017,46,Male,3,7468.947,21085.23457420924,13251.091748905108,104643.61982530414,Both,Divorced,7,25,Finance,Regional Account Head
aLaSMtWp,101606.98,5/23/2009,37,Male,3,9531.302,23980.236155717757,15070.46593868613,120048.05221703164,Both,Divorced,15,16,Human Resources,ERP Head
LzgrIMyy,38004.27,5/22/2023,21,Male,0,7204.573,8969.377591240873,5636.837710948905,48541.38288029196,Medical,Single,1,0,IT,QA Engineer I
jUcmhPBq,44853.1,9/5/2022,23,Other,0,7187.69,10585.768126520676,6652.664175182481,55973.89395,Life,Single,1,2,Marketing,Marketing Development Representative
jPIrTZav,27828.87,4/14/2022,24,Male,4,5714.112999999999,6567.884161,4127.610499270072,35983.25666131387,None,Married,2,3,Sales,Business Development Representative
vObLToBk,145873.06,5/16/2013,50,Other,2,5408.694,34427.46184914841,21636.062621897807,164073.1532272506,None,Divorced,11,29,Human Resources,HR Director
wJMwRnmO,88741.88,6/5/2008,41,Female,3,9062.812,20943.94734793187,13162.299281751824,105586.34006618006,None,Divorced,16,20,Sales,Senior Executive
POSLRyxe,116172.12,1/24/2014,56,Other,2,11139.788,27417.75095,17230.78451386861,137498.8744350365,Medical,Divorced,10,35,IT,IT Manager
mShraEfj,48301.48,1/10/2018,30,Female,0,6216.852,11399.619367396592,7164.131924087591,58753.81944330901,Both,Single,6,9,Finance,Account Associate
AYczwvVW,52958.09,9/20/2016,30,Female,0,5670.191,12498.624647201945,7854.805757664232,63272.09988953771,Both,Single,7,9,Sales,Sales Executive
lzmCJzuq,78423.8,1/7/2018,35,Male,2,7372.619999999999,18508.78005,11631.909605839415,92673.29044282236,Life,Married,6,14,Finance,Senior Account Executive
VBXmrCng,103371.78,6/17/2020,42,Female,1,9473.822,24396.74613138685,15332.223135766422,121910.12499562044,Life,Married,4,21,Finance,Regional Account Head
yIiAxqKt,140726.84,4/23/2023,51,Other,2,10261.316,33212.90384428223,20872.769261313868,163328.29058296836,Life,Widowed,1,30,Marketing,National Marketing Manager
ZWwxaHkW,77886.93,12/6/2019,44,Other,3,5674.307000000001,18382.07350364963,11552.280420437955,90391.03008321168,None,Married,4,23,Sales,Senior Executive
TJQuLWqh,118574.88,4/2/2013,55,Female,1,6730.511999999999,27984.82569343065,17587.16468321168,135703.05301021898,Both,Married,11,34,Sales,National Sales Manager
WVxqwnet,145880.96,10/23/2022,57,Other,1,6271.904,34429.32632603405,21637.23435912409,164944.95596690997,Medical,Married,1,36,Human Resources,Recruitment Manager
qfodNSJF,63524.74,10/26/2021,29,Male,3,7937.526,14992.456885644764,9422.063626277371,77032.65925936738,Life,Married,2,8,Human Resources,HR Associate
wMZhZpNq,121358.48,10/24/2018,57,Male,4,12848.152,28641.78238442821,18000.031486131385,144848.3828982968,None,Married,5,36,Marketing,National Marketing Manager
HZhvshVf,30495.89,1/8/2023,22,Male,0,9922.411,7197.326836982967,4523.186020437955,43092.44181654501,Both,Single,1,1,Human Resources,HR Representative
WhrpeCsY,118711.27,1/14/2005,58,Female,4,8079.873,28017.015060827245,17607.39420729927,137200.76385352798,Both,Married,19,37,Finance,Account Director
HWBXkgbz,62574.33,5/10/2024,26,Female,3,9389.567,14768.150875912404,9281.097705109489,77450.95017080291,None,Married,0,5,Human Resources,HR Executive
VBWvfdsg,93180.14,5/28/2019,32,Other,3,5640.985999999999,21991.419902676396,13820.587188321168,106991.95871435523,None,Married,5,11,Human Resources,ERP Head
rcwaxMCL,23115.33,4/18/2020,24,Other,0,7246.467,5455.442846715328,3428.4927416058395,32388.74710510949,Medical,Single,4,3,Human Resources,HR Representative
evOaVMMN,105954.75,3/21/2007,44,Other,3,9820.525,25006.352189781013,15715.332262773722,125066.29492700729,Both,Married,17,23,Human Resources,Senior HR
IdgjSIpP,138496,5/19/2006,52,Male,2,8305.4,32686.40389294403,20541.888467153283,158945.91542579074,Medical,Widowed,18,31,IT,IT Manager
fDbWYJWY,44890.29,11/9/2022,24,Other,0,6259.971,10594.545328467151,6658.180239416059,55086.62608905109,Both,Single,1,3,Human Resources,HR Representative
byWPQnhE,111753.55,1/9/1998,48,Male,1,12734.645,26374.92542579075,16575.41705109489,134287.70337469585,Life,Married,26,27,Marketing,National Marketing Manager
IsUWGRUP,132598.42,9/14/2018,58,Female,2,7228.157999999998,31294.51761557177,19667.15251386861,151453.94310170316,Life,Divorced,5,37,IT,Technical Lead
sAtKvoCI,81551.3,1/24/2013,41,Female,3,8244.869999999999,19246.90049,12095.78405839416,96947.28642822384,Medical,Married,11,20,Finance,Senior Account Executive
mhntnJtt,90164.85,12/22/2017,46,Other,3,8862.515,21279.78211678832,13373.35585,106933.79126277372,Both,Divorced,6,25,Marketing,Regional Marketing Manager
IqGJBrJs,39169.59,7/26/2022,24,Male,2,8944.041000000001,9244.404452554742,5809.679334306568,51548.35611824817,Life,Married,1,3,Human Resources,HR Intern
xOipoMbb,120130.2,2/27/2000,57,Female,3,10280.98,28351.896350364957,17817.851562043794,140945.22478832115,None,Married,24,36,Sales,Sales Director
TEbpxMhP,136958.54,7/28/2004,50,Other,1,10542.146,32323.54836982968,20313.850604379564,159510.38376545015,Medical,Divorced,19,29,IT,IT Manager
HZaiwDkh,127451.58,3/22/1986,60,Female,3,6401.841999999999,30079.813284671523,18903.767194160584,145029.46809051093,Both,Married,38,39,Human Resources,Recruitment Manager
yjBoBNWI,129804.23,7/7/2012,53,Male,1,11484.577,30635.061581508508,19252.71498978102,152671.1535917275,Life,Married,12,32,Sales,Sales Director
vFMHZBSD,85569.9,4/9/2005,42,Other,3,5159.01,20195.32919708029,12691.827503649632,98232.41169343064,Life,Divorced,19,21,Marketing,Regional Marketing Manager
BnSbCkUe,83329.16,6/18/2018,35,Male,3,8772.083999999999,19666.492749391724,12359.478329927006,99408.25841946472,None,Married,6,14,IT,QA Lead
ZEjbAIJz,140957.34,5/22/2010,54,Male,4,7303.266,33267.304087591234,20906.95729051095,160620.9527970803,None,Married,14,33,Sales,Sales Director
QVaENSKy,59681.63,1/8/2014,30,Male,0,6286.837,14085.445523114353,8852.049062773722,71201.86346034064,None,Single,10,9,Marketing,Marketing Associate
GXSwwaLt,133353.84,12/18/1987,57,Other,4,9418.616,31472.80408759123,19779.197290510947,154466.0627970803,Both,Married,36,36,IT,Technical Lead
JDCIOTzQ,64338.86,1/16/2024,27,Male,0,8841.114,15184.597128953768,9542.814855474451,78821.75627347932,Life,Single,0,6,Marketing,Marketing Representative
TkVtIavF,100338.06,11/23/2000,46,Male,4,10053.194,23680.75868613138,14882.258242335763,119189.7544437956,None,Married,23,25,IT,Software Engineer III
VpmFiZyw,91477.11,9/16/2013,39,Other,2,6875.288999999999,21589.488248175177,13567.99178978102,106373.89545839417,Medical,Married,10,18,IT,QA Lead
eWgVBGVv,107633.14,7/22/2020,44,Female,2,13357.686,25402.46856447688,15964.273027737228,130429.02153673964,None,Divorced,3,23,Marketing,Senior Marketing Executive
sHZljuhI,90103.39,12/3/2015,35,Other,1,4476.661,21265.276958637463,13364.240035036495,102481.08792360098,None,Divorced,8,14,Sales,Regional Sales Manager
sRNvoVmH,59237.35,11/9/2020,25,Female,0,5086.264999999999,13980.591119221406,8786.152934306569,69518.05318491484,Life,Single,3,4,IT,QA Engineer II
QoIjDnsq,101538.92,7/3/2021,44,Female,2,9878.108,23964.173333333325,15060.371199999998,120320.83013333334,Medical,Married,3,23,IT,QA Lead
zmGxkVDo,107342.23,11/10/2018,32,Other,3,9651.777,25333.810973236003,15921.12491678832,126406.69305644768,None,Married,5,11,Finance,Senior Account Executive
aJfaygYi,102319.97,1/25/2022,34,Other,2,12631.003,24148.50873479318,15176.21744817518,123923.26428661798,Medical,Married,2,13,Marketing,Regional Marketing Manager
EOnrrWMG,108031.99,7/27/2013,44,Male,2,13647.801,25496.601046228705,16023.430925547444,131152.96112068126,Both,Married,10,23,Human Resources,ERP Head
HahdRfQu,88012.87,7/11/2000,46,Male,1,6388.713,20771.893892944037,13054.171667153283,102119.30522579075,Both,Divorced,24,25,Marketing,Senior Marketing Executive
MjSycaDF,97581.05,5/8/2002,44,Male,1,3799.894999999999,23030.07749391727,14473.335299270071,109937.6871946472,Both,Married,22,23,Finance,Senior Account Executive
iQlHwcMx,47094.06,9/4/2022,25,Male,0,7218.594,11114.65649635036,6985.045979562043,58442.26451678832,Both,Single,1,4,Marketing,Marketing Associate
yzCqYgYM,42207.74,9/26/2021,23,Male,0,7106.226,9961.437421,6260.301290510948,53015.10213041362,None,Single,2,2,Sales,Sales Development Representative
vCfpLdOa,117594.13,12/17/2017,55,Male,2,10876.587,27753.359148418484,17441.698697810218,138782.37745060827,Medical,Widowed,6,34,Sales,Sales Director
wLQWjjhS,125426.72,8/6/2001,56,Other,1,5459.328,29601.926618004854,18603.437594160583,141884.53702384428,Medical,Married,22,35,IT,Technical Lead
gpmXxRIE,83192.9,6/24/2006,42,Male,3,7041.710000000001,19634.33406326033,12339.26808759124,97529.67598,Life,Divorced,18,21,Sales,Regional Sales Manager
TlSmysou,69174.52,4/10/2020,25,Other,0,8516.547999999999,16325.859951338196,10260.045594160583,83756.88235717762,Life,Single,4,4,Finance,Account Associate
ynSHbLfd,145484.45,1/26/2017,55,Male,2,6283.554999999999,34335.74610705595,21578.423532846715,164525.32757420925,None,Married,7,34,Sales,Sales Director
QAOLlBBK,101722.1,4/10/2012,32,Other,3,9808.79,24007.40559610705,15087.540671532846,120450.7549245742,Medical,Married,12,11,IT,Software Engineer III
qorWZSrc,96922.23,4/12/2009,35,Male,2,4097.777,22874.589562043788,14375.618347445254,109518.97821459854,Life,Married,15,14,Finance,Senior Account Executive
xvkjXBeR,91509.18,11/18/2015,35,Male,2,6822.082,21597.057080291965,13572.748449635035,106355.57063065692,None,Married,8,14,IT,Software Engineer III
xogSDdjn,141663.32,10/2/2001,48,Other,1,6388.667999999998,33433.922238442814,21011.669068613137,160474.24116982968,Life,Married,22,27,IT,IT Manager
vhuCsSLz,132723.1,4/21/2013,52,Other,2,4899.689999999999,31323.943309002425,19685.64519708029,149261.08811192214,None,Widowed,11,31,Marketing,National Marketing Manager
MCONOivL,142001.24,11/3/2002,58,Other,1,5188.876,33513.67464720194,21061.789757664228,159642.00088953768,Both,Married,21,37,Human Resources,HR Director
NMjvhpAF,103723.51,8/15/2014,35,Male,2,7902.648999999999,24479.75783454987,15384.392140145985,120721.52469440388,Medical,Divorced,9,14,Sales,Senior Executive
vEpdzYoL,116593.52,9/28/2011,59,Other,4,7690.647999999999,27517.205450121648,17293.287054014596,134508.08639610707,None,Married,12,38,Marketing,Marketing Director
eQhaclpK,53279.2,3/6/2016,29,Male,0,5427.08,12574.409732360093,7902.4331678832095,63378.25656447688,Life,Single,8,8,Human Resources,HR Associate
RfwhGmMR,125906.61,12/13/1991,53,Female,3,9690.339,29715.185328467145,18674.61543941606,146637.51888905108,Life,Divorced,32,32,Marketing,National Marketing Manager
DPYaCKxb,92190.73,7/18/2014,41,Other,1,6464.927,21757.909513381983,13673.83674160584,106739.72977177615,Life,Divorced,10,20,IT,Software Engineer III
HtpHSqeZ,99897.94,10/5/2007,40,Male,1,7916.205999999998,23576.886082725054,14816.979129927004,116574.05295279804,Life,Married,16,19,Finance,Senior Account Executive
dbKLxjpp,97507.38,11/22/2009,38,Other,4,7810.261999999999,23012.69066,14462.408478832116,113867.92417810218,Both,Married,14,17,Human Resources,Senior HR
jPfRIHTM,134425.11,5/13/2023,48,Male,1,7674.489000000001,31725.63423357663,19938.089308029197,153887.14392554745,Both,Divorced,1,27,Human Resources,Recruitment Manager
lBaEtJxE,111074.91,3/27/1999,47,Male,3,13734.508999999998,26214.75978102189,16474.760373722627,134549.41840729926,None,Married,25,26,Human Resources,HR Director
mharjOiJ,71389.93,2/24/2015,30,Other,1,7698.007,16848.718272506077,10588.637792700729,85348.01747980533,Medical,Married,9,9,IT,Software Engineer II
CSRKTCCx,45446.76,5/12/2022,26,Male,0,5904.324,10725.877664233574,6740.7165197080285,55336.24514452554,None,Single,2,5,Marketing,Marketing Representative
ERCagGZC,105371.92,5/6/2016,34,Male,4,11690.808,24868.79863746958,15628.886236496348,126302.64040097324,Both,Married,8,13,Sales,Regional Sales Manager
taEjuiMT,107698.17,5/25/2003,44,Other,3,7681.182999999999,25417.81627737225,15973.918353284673,124823.25092408758,Both,Divorced,21,23,IT,Software Engineer III
KXWAaziZ,62755.17,3/12/2020,26,Male,3,10657.483,14810.830875912405,9307.920105109488,78915.56377080291,Life,Married,4,5,IT,QA Engineer II
JGJvlLxH,77467.49,6/19/2024,32,Male,2,6430.250999999999,18283.08158150851,11490.068589781022,90690.75399,Both,Married,0,11,Finance,Senior Account Executive
VMlWIhSL,65953.55,6/2/2024,27,Other,3,10092.645,15565.679683698294,9782.307562043796,81829.56712165452,Life,Married,0,6,Human Resources,HR Executive
PKJeyEwR,83577.9,11/9/2013,43,Female,3,9450.21,19725.19781021897,12396.371737226276,100356.9360729927,Medical,Married,10,22,IT,QA Lead
sBFfRZAg,105515.63,10/24/2018,38,Other,3,13527.436999999998,24902.71559610705,15650.201471532846,128295.5811245742,None,Divorced,5,17,Human Resources,Senior HR
HNKNKJVo,83326.94,11/16/2023,39,Female,1,8685.305999999999,19665.968807785885,12359.149056934306,99319.06575,None,Married,0,18,Sales,Regional Sales Manager
ACQptRFH,24491.21,10/1/2022,22,Female,0,6373.879,5780.163917274937,3632.564870072993,33012.68804720194,Medical,Single,1,1,IT,QA Engineer I
PjndQCwq,104605.13,2/23/2006,43,Other,3,13276.487,24687.82873479318,15515.155048175182,127054.2907,Both,Married,18,22,Sales,Senior Executive
asFZqETA,47583.47,7/26/2023,29,Female,0,7143.652999999999,11230.162019464717,7057.635842335766,58899.64917712895,Both,Single,0,8,IT,QA Engineer II
bdtdTprr,88119.22,6/13/2021,33,Male,3,5734.078,20796.99352798053,13069.945623357662,101580.34590462288,None,Divorced,3,12,Marketing,Senior Marketing Executive
oMvCwfAT,52745.15,12/14/2019,25,Other,1,5013.485,12448.368734793185,7823.222248175182,62383.78148661801,Medical,Married,4,4,Sales,Sales Representative
wvyHIiDu,106765.76,4/22/2008,41,Other,3,12990.424,25197.75844282237,15835.622213138682,129118.32022968368,Medical,Divorced,16,20,Marketing,Senior Marketing Executive
jeXOIiNI,59136.13,12/2/2021,25,Other,0,5397.387,13956.702214111918,8771.139865693429,69719.07934841848,None,Single,2,4,Human Resources,HR Associate
KsBUSHOz,103273.55,2/19/2017,35,Female,2,9663.645,24373.562895377123,15317.653547445254,121993.10434793186,Life,Married,7,14,Human Resources,ERP Head
VrStzZKp,96507.19,2/5/2018,43,Other,3,4895.280999999999,22776.636082725054,14314.059129927004,109865.04795279806,Medical,Married,6,22,Sales,Senior Executive
zwchoKHs,119988.94,8/8/1998,52,Male,4,10804.106,28318.557615571768,17796.899713868614,141314.70390170315,Both,Married,25,31,Finance,Account Director
MkVfTQOd,44785.81,7/16/2020,24,Other,0,6882.419,10569.887031630167,6642.683644,55595.43238783455,None,Single,4,3,Sales,Business Development Representative
OgQtnYmt,117387.65,4/11/2008,57,Male,2,12412.235,27704.62785888077,17411.07334306569,140093.4395158151,Life,Married,16,36,Sales,Sales Director
NfmTkHVY,30331.19,11/18/2023,23,Male,0,8944.881,7158.456034063258,4498.757524,41935.76950997567,None,Single,0,2,Human Resources,HR Representative
QslDddDU,113828.86,5/14/1993,59,Other,3,12085.114,26864.71878345498,16883.229454014596,135895.4633294404,None,Divorced,31,38,IT,Technical Lead
uEMYvXNa,82018.17,4/28/2010,40,Female,3,5497.182999999999,19357.08635036496,12165.030762043794,94707.40858832117,Medical,Married,14,19,Human Resources,Senior HR
jeVcesMV,28845.39,8/9/2022,24,Other,0,6863.460999999999,6807.7927737226255,4278.381932846715,38238.26184087591,None,Single,1,3,Marketing,Marketing Development Representative
trsWRARC,38990.59,12/22/2022,23,Female,0,7750.941000000001,9202.158710462283,5783.129845255473,50160.55987,Medical,Single,1,2,Finance,Accounts Intern
